"ADMINID","ENRORGID","PERMNUMBER","ETHNO","RACE_AMI","RACE_ASI","RACE_AFA","RACE_NAT","RACE_WHT","ADMINSTAT","ENTRYTYPE","ENRBEGDATE","ENRENDDATE","EXITTYPE","NEWENRORGID","SS504","EST","NSLELG","HOMELESS","MKSERVICE","UNYOUTH","NTRESNO","DUAL_ENR","T1SERVICES","IST1RLA","IST1MATH","IST1SCIENCE","IST1SOCIAL","IST1VOC","IST1OTHER","SST1HEALTH","SST1GUID","SST1OTHER","SY"
"SU021","PS187","1190090","2","Y","N","N","N","Y","01","01","08/29/2018","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1190186","2","N","N","N","N","Y","01","01","01/02/2020","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1190201","2","N","N","N","N","Y","01","01","08/28/2019","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1190241","2","N","N","N","N","Y","01","06","09/08/2020","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1190242","2","Y","N","N","N","Y","01","06","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1190270","2","Y","N","N","N","Y","08","07","09/08/2020","10/08/2020","14","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1190270","2","Y","N","N","N","Y","01","07","11/20/2020","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1190307","2","N","N","N","N","Y","01","01","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1190446","2","N","N","N","N","Y","01","06","08/29/2018","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1190495","2","N","N","N","N","Y","01","01","09/08/2020","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1190511","2","N","N","N","N","Y","01","01","09/08/2020","01/31/2021","01","PS406","N","N","01","Y","Y","N","02","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1190530","2","N","N","N","N","Y","01","01","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1190537","2","Y","N","N","N","Y","01","06","08/29/2018","","","","N","Y","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1190547","2","N","N","N","N","Y","01","06","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1190698","2","N","N","N","N","Y","01","04","09/08/2020","11/12/2020","14","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1190698","2","N","N","N","N","Y","01","07","12/08/2020","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1190714","2","N","N","N","N","Y","01","01","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1190738","2","N","N","N","N","Y","01","01","08/29/2018","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1190789","2","Y","N","N","N","Y","01","06","08/29/2018","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1190847","2","Y","N","N","N","Y","01","06","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1190865","2","N","N","N","N","Y","01","06","08/29/2018","","","","Y","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1190867","2","N","N","N","N","Y","01","01","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1190933","2","N","N","Y","N","Y","05","01","09/08/2020","10/25/2020","01","PS406","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1190974","2","N","N","N","N","Y","05","01","08/29/2018","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1191053","2","N","N","N","N","Y","01","06","08/29/2018","","","","Y","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1191103","2","N","N","N","N","Y","01","06","08/29/2018","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1191246","2","Y","N","N","N","Y","01","06","08/29/2018","","","","Y","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1191296","2","Y","N","N","N","Y","01","06","08/28/2019","","","","N","Y","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1191543","2","N","N","N","N","Y","05","01","08/29/2017","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1191559","2","Y","N","N","N","Y","01","01","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1191562","2","N","N","N","N","Y","01","06","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1191573","2","Y","N","N","N","Y","01","01","02/01/2021","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1191645","2","N","N","Y","N","Y","01","06","08/29/2018","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1191687","2","N","N","N","N","Y","01","06","08/28/2019","","","","N","Y","02","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1191784","2","N","N","N","N","Y","01","01","08/29/2017","09/09/2020","19","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1191877","2","N","N","N","N","Y","01","01","08/29/2018","10/07/2020","14","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1191929","2","N","N","N","N","Y","01","01","08/28/2019","","","","Y","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1191942","2","N","N","N","N","Y","01","01","08/29/2017","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1191959","2","N","N","N","N","Y","01","06","08/28/2019","01/25/2021","01","PS032","N","Y","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1191964","2","N","N","N","N","Y","01","06","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1192052","2","N","N","N","N","Y","05","05","09/08/2020","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1192093","2","N","N","N","N","Y","01","06","08/29/2017","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1192149","2","N","N","N","N","Y","01","01","08/28/2019","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1192152","2","N","N","N","N","Y","01","01","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1192169","1","Y","N","N","N","Y","01","01","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1192187","2","Y","N","N","N","Y","01","01","08/28/2019","","","","Y","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1192331","2","N","N","N","N","Y","01","06","08/28/2019","","","","Y","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1192345","2","N","N","N","N","Y","01","06","08/29/2018","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1192353","2","Y","N","N","N","Y","01","06","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1192484","2","N","N","N","N","Y","01","01","08/29/2018","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1192530","2","N","N","N","N","Y","01","06","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1192625","2","N","N","N","N","Y","01","01","08/29/2018","","","","N","N","02","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1192638","2","Y","N","N","N","N","01","06","08/29/2018","10/19/2020","14","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1192638","2","Y","N","N","N","N","01","07","11/06/2020","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1192640","2","N","N","N","N","Y","01","01","08/29/2018","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1192758","2","Y","N","N","N","Y","01","06","08/29/2017","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1192774","2","N","N","N","N","Y","01","06","09/08/2020","12/06/2020","14","","Y","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1192911","2","Y","N","N","N","Y","01","06","08/29/2018","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1193061","2","Y","N","N","N","Y","01","06","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1193117","2","N","N","N","N","Y","01","06","08/29/2018","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1193241","2","Y","N","Y","N","N","01","01","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1193244","2","N","N","N","N","Y","01","06","08/29/2018","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1193245","2","N","N","N","N","Y","01","01","08/29/2018","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1193338","2","N","N","N","N","Y","01","06","08/29/2018","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1193378","2","N","N","N","N","Y","01","06","08/29/2018","09/09/2020","05","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1193404","2","Y","N","N","N","Y","01","01","08/28/2019","","","","N","Y","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1193415","2","N","N","N","N","Y","01","06","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1193483","2","Y","N","N","N","Y","01","04","09/08/2020","02/08/2021","03","IS167","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1193514","2","N","N","N","N","Y","01","06","08/29/2018","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1193566","2","N","N","N","N","Y","01","01","08/29/2018","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1193720","2","N","N","N","N","Y","01","01","09/04/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1193744","2","Y","N","N","N","Y","05","05","09/08/2020","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1193779","2","N","N","N","N","Y","01","01","08/29/2018","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1193874","2","Y","N","N","N","Y","01","02","11/26/2019","","","","Y","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1193878","2","N","N","N","N","Y","01","01","08/29/2018","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1193974","2","Y","N","N","N","Y","01","06","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1194015","2","N","N","N","N","Y","01","06","08/29/2018","","","","Y","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1194078","2","Y","N","N","N","Y","01","01","08/29/2018","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1194100","2","N","N","N","N","Y","01","01","08/29/2018","01/28/2021","14","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1194181","2","N","N","N","N","Y","01","06","08/29/2018","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1194198","2","N","N","N","N","Y","01","06","08/28/2019","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1194213","2","N","N","N","N","Y","01","01","08/29/2018","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1194217","2","Y","N","N","N","Y","01","01","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1194258","2","N","N","Y","N","Y","01","06","08/29/2018","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1194316","2","N","N","N","N","Y","05","01","08/28/2019","11/11/2020","01","PS366","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1194394","2","N","N","N","N","Y","01","01","08/28/2019","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1194410","2","N","N","N","N","Y","01","01","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1194420","2","Y","N","Y","N","Y","01","06","08/29/2018","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1194471","2","N","N","N","N","Y","01","01","08/28/2019","","","","Y","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1194603","2","N","N","N","N","Y","05","05","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1194614","2","N","N","N","N","Y","01","06","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1194629","2","N","N","N","N","Y","01","01","08/29/2018","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1194708","2","Y","N","N","N","Y","01","06","08/28/2019","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1194805","2","N","N","N","N","Y","01","06","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1194825","2","Y","N","N","N","Y","01","06","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1194850","1","Y","N","N","N","Y","01","06","08/29/2017","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1194907","2","N","N","N","N","Y","01","06","08/29/2018","09/09/2020","01","PS199","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1194932","2","N","N","N","N","Y","01","06","08/29/2018","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1194962","2","N","N","N","N","Y","01","06","08/29/2018","","","","Y","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1194966","2","N","N","N","N","Y","01","01","08/29/2018","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1194995","2","Y","N","N","N","Y","01","01","08/29/2018","","","","Y","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1195002","2","N","N","N","N","Y","01","01","08/29/2017","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1195172","2","Y","N","N","N","Y","01","01","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1195177","2","N","N","N","N","Y","01","01","08/29/2018","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1195794","2","N","N","N","N","Y","01","01","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1195819","2","N","N","N","N","Y","01","01","08/29/2018","","","","Y","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1195820","2","N","N","N","N","Y","01","01","08/29/2018","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1195823","2","N","N","N","N","Y","01","01","08/29/2017","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1195824","2","N","N","N","N","Y","01","01","08/28/2019","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1196328","2","Y","N","N","N","Y","01","01","08/29/2017","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1196329","2","N","N","N","N","Y","01","01","08/29/2018","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1196349","2","N","N","N","N","Y","01","01","08/29/2017","","","","Y","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1196350","2","N","N","N","N","Y","01","01","08/29/2018","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1196358","2","N","N","N","N","Y","01","01","08/29/2017","09/09/2020","19","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1196359","2","Y","N","N","N","N","01","01","08/29/2017","","","","Y","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1196365","2","N","N","N","N","Y","01","01","08/29/2018","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1196427","2","N","N","N","N","Y","01","01","08/29/2017","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1196445","2","N","N","N","N","Y","01","01","08/31/2016","11/03/2020","14","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1197240","2","Y","N","N","N","N","01","01","08/28/2019","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1197358","2","Y","N","N","N","Y","01","01","08/29/2018","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1197392","2","Y","N","N","N","Y","01","01","08/29/2018","","","","N","N","01","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1197466","2","N","N","N","N","Y","01","06","08/29/2018","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1197610","2","N","N","N","N","Y","01","06","08/28/2019","","","","N","N","02","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1197621","2","N","N","N","N","Y","01","01","08/29/2018","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
"SU021","PS187","1197638","2","N","N","N","N","Y","01","06","08/29/2018","","","","N","N","96","N","","","","N","N","N","N","N","N","N","N","N","N","N","2021"
